Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	BEGUM
Comments:	
Date:	4/30/17 11:03 AM
Duration:	03:30:14'48
Activities:	Ciclo indoor
Max HR:	152
Average HR:	77
Calories:	167
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1493568238261	2017-04-30 11:03:58.261	00:00:01	62	OK
1493568238261	2017-04-30 11:03:58.261	00:00:02	62	OK
1493568239285	2017-04-30 11:03:59.285	00:00:02	63	OK
1493568240260	2017-04-30 11:04:00.260	00:00:04	62	OK
1493568241284	2017-04-30 11:04:01.284	00:00:05	62	OK
1493568242259	2017-04-30 11:04:02.259	00:00:06	62	OK
1493568243289	2017-04-30 11:04:03.289	00:00:07	62	OK
1493568244266	2017-04-30 11:04:04.266	00:00:08	63	OK
1493568245285	2017-04-30 11:04:05.285	00:00:09	64	OK
1493568246265	2017-04-30 11:04:06.265	00:00:10	63	OK
1493568247287	2017-04-30 11:04:07.287	00:00:10	63	OK
1493568248262	2017-04-30 11:04:08.262	00:00:12	63	OK
1493568249294	2017-04-30 11:04:09.294	00:00:13	62	OK
1493568250264	2017-04-30 11:04:10.264	00:00:13	62	OK
1493568251285	2017-04-30 11:04:11.285	00:00:15	62	OK
1493568252302	2017-04-30 11:04:12.302	00:00:16	63	OK
1493568253284	2017-04-30 11:04:13.284	00:00:17	63	OK
1493568254310	2017-04-30 11:04:14.310	00:00:18	63	OK
1493568255283	2017-04-30 11:04:15.283	00:00:19	63	OK
1493568256312	2017-04-30 11:04:16.312	00:00:20	63	OK
1493568257275	2017-04-30 11:04:17.275	00:00:21	63	OK
1493568258303	2017-04-30 11:04:18.303	00:00:22	62	OK
1493568259274	2017-04-30 11:04:19.274	00:00:23	62	OK
1493568260297	2017-04-30 11:04:20.297	00:00:24	63	OK
1493568261273	2017-04-30 11:04:21.273	00:00:25	63	OK
1493568262297	2017-04-30 11:04:22.297	00:00:26	63	OK
1493568263272	2017-04-30 11:04:23.272	00:00:27	63	OK
1493568264929	2017-04-30 11:04:24.929	00:00:28	63	OK
1493568265271	2017-04-30 11:04:25.271	00:00:29	63	OK
1493568266609	2017-04-30 11:04:26.609	00:00:30	62	OK
1493568267609	2017-04-30 11:04:27.609	00:00:31	62	OK
1493568268617	2017-04-30 11:04:28.617	00:00:32	62	OK
1493568269623	2017-04-30 11:04:29.623	00:00:32	63	OK
1493568270633	2017-04-30 11:04:30.633	00:00:33	63	OK
1493568271611	2017-04-30 11:04:31.611	00:00:35	62	OK
1493568272606	2017-04-30 11:04:32.606	00:00:36	61	OK
1493568273609	2017-04-30 11:04:33.609	00:00:37	62	OK
1493568274593	2017-04-30 11:04:34.593	00:00:38	61	OK
1493568275592	2017-04-30 11:04:35.592	00:00:39	61	OK
1493568277583	2017-04-30 11:04:37.583	00:00:40	61	OK
1493568277587	2017-04-30 11:04:37.587	00:00:41	62	OK
1493568279081	2017-04-30 11:04:39.081	00:00:42	62	OK
1493568279578	2017-04-30 11:04:39.578	00:00:43	63	OK
1493568280579	2017-04-30 11:04:40.579	00:00:44	62	OK
1493568281580	2017-04-30 11:04:41.580	00:00:45	62	OK
1493568282570	2017-04-30 11:04:42.570	00:00:46	62	OK
1493568283573	2017-04-30 11:04:43.573	00:00:47	62	OK
1493568284569	2017-04-30 11:04:44.569	00:00:48	62	OK
1493568285569	2017-04-30 11:04:45.569	00:00:49	61	OK
1493568286623	2017-04-30 11:04:46.623	00:00:50	61	OK
1493568287574	2017-04-30 11:04:47.574	00:00:51	64	OK
1493568288561	2017-04-30 11:04:48.561	00:00:52	69	OK
1493568289564	2017-04-30 11:04:49.564	00:00:52	71	OK
1493568291067	2017-04-30 11:04:51.067	00:00:53	75	OK
1493568291555	2017-04-30 11:04:51.555	00:00:55	77	OK
1493568292556	2017-04-30 11:04:52.556	00:00:56	81	OK
1493568294047	2017-04-30 11:04:54.047	00:00:57	82	OK
1493568294547	2017-04-30 11:04:54.547	00:00:58	86	OK
1493568295552	2017-04-30 11:04:55.552	00:00:59	88	OK
1493568297060	2017-04-30 11:04:57.060	00:01:00	89	OK
1493568297541	2017-04-30 11:04:57.541	00:01:01	91	OK
1493568298553	2017-04-30 11:04:58.553	00:01:01	92	OK
1493568300041	2017-04-30 11:05:00.041	00:01:03	92	OK
1493568300533	2017-04-30 11:05:00.533	00:01:04	91	OK
1493568301529	2017-04-30 11:05:01.529	00:01:05	91	OK
1493568303026	2017-04-30 11:05:03.026	00:01:06	91	OK
1493568303533	2017-04-30 11:05:03.533	00:01:06	89	OK
1493568304517	2017-04-30 11:05:04.517	00:01:08	89	OK
1493568305521	2017-04-30 11:05:05.521	00:01:09	89	OK
1493568306513	2017-04-30 11:05:06.513	00:01:10	88	OK
1493568307513	2017-04-30 11:05:07.513	00:01:11	89	OK
1493568308512	2017-04-30 11:05:08.512	00:01:12	89	OK
1493568309515	2017-04-30 11:05:09.515	00:01:13	90	OK
1493568311007	2017-04-30 11:05:11.007	00:01:14	90	OK
1493568311602	2017-04-30 11:05:11.602	00:01:14	92	OK
1493568312502	2017-04-30 11:05:12.502	00:01:16	94	OK
1493568313509	2017-04-30 11:05:13.509	00:01:17	94	OK
